number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
29,29,22,80,29,29,22,80,1,5,1,7,59,63,45,167,30,34,23,87,3038.54011096,3676.68455892,7014.19414032,13729.4188102,3038.54011096,735.336911783,7014.19414032,1961.34554431,59.0,12.6,45.0,23.8571428571,554.276824262,236.855810122,882.782075874,374.476850106,1.04315457095,0.952963844193,1.47401777023,1.1289478123,6.37288135593,2.28571428571,4.17777777778,4.23952095808,51.5006798467,58.3600723638,155.870980896,82.2120886838,193.668395047,98.8822934256,307.95360556,188.706179903,127.926234036,69.7852826247,145.343942667,110.68621577,150129a
23,15,26,64,23,16,26,65,1,6,1,8,47,39,53,139,24,23,27,74,3007.75753218,3228.1016504,9239.0146967,15474.8738793,3007.75753218,538.016941734,9239.0146967,1934.35923491,47.0,6.5,53.0,17.375,570.013333802,223.301928382,801.072466729,339.612763549,0.911346748685,0.996567458052,1.45039996651,1.15031072219,5.02127659574,1.58974358974,4.30188679245,3.78417266187,63.9948411101,82.7718371898,174.321032013,111.330027908,185.861625623,113.972168269,393.004899205,244.673889386,124.544069684,78.1870278464,161.908281484,125.784203452,150130aB
9,28,44,81,9,29,46,84,1,5,1,7,19,65,95,179,10,36,49,95,1736.18698975,6057.86264353,19289.1847494,27083.2343826,1736.18698975,1211.57252871,19289.1847494,3869.03348323,19.0,13.0,95.0,25.5714285714,480.571144457,324.272552099,1084.2395841,455.167641292,0.863370773432,1.08956221798,1.63670570687,1.3616435823,3.26315789474,2.52307692308,5.77894736842,4.32960893855,91.3782626182,93.1978868235,203.044049993,151.302985378,275.332647258,130.637061598,623.528640617,407.586313745,194.085018645,89.7746562536,214.047573669,166.801606197,150318a
30,28,22,80,31,31,22,84,1,3,1,5,64,68,45,177,33,37,23,93,4673.7736936,3799.1993434,7332.30760263,15805.2806396,4673.7736936,1266.39978113,7332.30760263,3161.05612793,64.0,22.6666666667,45.0,35.4,710.955999138,341.143102383,737.357090938,494.348479445,1.28931649133,1.1080514945,1.41609089239,1.26073670273,4.265625,3.60294117647,5.91111111111,4.42937853107,73.0277139626,55.8705785794,162.940168947,89.2953708454,182.750741697,117.990872872,400.297093891,213.179638695,114.135820223,80.7340233039,136.996512938,107.115531984,150423a1
11,33,29,73,11,33,29,73,1,7,1,9,23,73,59,155,12,40,30,82,1958.22781085,5104.52409752,8410.97355771,15473.7254661,1958.22781085,729.217728217,8410.97355771,1719.30282956,23.0,10.4285714286,59.0,17.2222222222,440.051173575,255.612058862,835.225115389,340.506744556,0.986312107153,0.855147221329,1.2520318353,1.03257828365,3.82608695652,2.21917808219,4.64406779661,3.38064516129,85.1403396022,69.9249876373,142.55887386,99.830486878,231.72763227,128.459916066,445.470242031,264.451959322,179.858631703,91.2181873239,181.276504843,138.65154832,150423a2
25,23,29,77,26,23,29,78,1,6,1,8,54,52,59,165,28,29,30,87,3533.14547958,3574.71237966,9012.00585811,16119.8637173,3533.14547958,595.78539661,9012.00585811,2014.98296467,54.0,8.66666666667,59.0,20.625,539.409586737,237.84815089,819.50501332,348.250438175,1.04899829729,0.952574814491,1.4378782369,1.16665775371,4.42592592593,2.0,4.4406779661,3.66666666667,65.4286199922,68.7444688396,152.745862002,97.6961437415,174.243835476,110.496639114,397.709900038,234.059857284,115.894753905,76.2408331256,170.236360504,122.829001837,150423b
22,30,32,84,22,30,32,84,1,7,1,9,45,67,65,177,23,37,33,93,2678.98207525,4713.38737346,13080.3165043,20472.685953,2678.98207525,673.341053352,13080.3165043,2274.74288367,45.0,9.57142857143,65.0,19.6666666667,437.479938398,223.854749066,1020.0657642,336.058771785,1.00180523795,0.922117158568,1.40987855928,1.12880171296,7.28888888889,2.4776119403,4.61538461538,4.48587570621,59.5329350055,70.3490652756,201.235638528,115.66489239,164.889668806,149.989824555,505.070524392,284.174787723,108.675963158,103.850120241,174.062754278,130.861330092,150424a
26,28,22,76,27,28,22,77,1,6,1,8,56,62,45,163,29,34,23,86,4428.02829997,4017.63077823,6740.04894721,15185.7080254,4428.02829997,669.605129705,6740.04894721,1898.21350318,56.0,10.3333333333,45.0,20.375,611.99961236,231.543463007,818.302715563,352.244351057,0.899345190324,0.944254794751,1.36844266769,1.05168220909,4.83928571429,2.1935483871,4.17777777778,3.65030674847,79.0719339281,64.800496423,149.778865494,93.1638529167,198.041881232,105.114016751,454.674874693,233.544685575,132.102942393,74.1000075897,184.181741248,124.4180589,150428b1
17,33,46,96,17,33,46,96,1,6,1,8,35,72,93,200,18,39,47,104,2121.67072201,4188.4027402,16568.0045525,22878.0780147,2121.67072201,698.067123367,16568.0045525,2859.75975184,35.0,12.0,93.0,25.0,481.85251003,250.736082366,944.531278371,366.350035325,0.960602133465,0.950362652734,1.30314751811,1.1212186421,4.51428571429,2.44444444444,5.84946236559,4.39,60.619163486,58.1722602806,178.150586586,114.390390073,191.147624379,122.934418208,441.836516448,283.161204969,135.113510262,88.4378503888,149.192509554,124.857007378,150428b2
14,29,54,97,14,29,55,98,1,7,1,9,29,65,112,206,15,36,57,108,2464.75145643,5340.06885015,21422.7562256,29227.5765322,2464.75145643,762.866978592,21422.7562256,3247.50850357,29.0,9.28571428571,112.0,22.8888888889,568.493660394,288.855447829,1171.78018533,418.029108947,0.816586344315,1.17875328502,1.61426710895,1.36893276257,4.13793103448,2.15384615385,7.02678571429,5.08252427184,84.991429532,82.1549053869,191.274609157,141.881439477,219.245697054,108.317979947,547.574378257,362.753030466,175.337677665,76.7629198192,196.053705147,155.49707484,150527a
