neuron_name,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,ap_postsyn_num,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,bas_postsyn_num,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,presynaptic_num,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
150129a,140,2,15,2,15,0.25,18.25,29,29,59,30,3038.540111,6077.080222,554.2768243,1.043154571,6.372881356,51.50067985,193.668395,127.926234,0,29,29,63,34,3676.684559,7353.369118,236.8558101,0.952963844,2.285714286,58.36007236,98.88229343,69.78528262,5,735.3369118,12.6,22,22,45,23,7014.19414,1753.548535,882.7820759,1.47401777,4.177777778,155.8709809,307.9536056,145.3439427,80,80,167,87,13729.41881,374.4768501,1.128947812,4.239520958,82.21208868,188.7061799,110.6862158,7
150130aB,168,1.3,6.5,1.05,10.36535304,0.2,21.625,23,23,47,24,3007.757532,3158.145409,570.0133338,0.911346749,5.021276596,63.99484111,185.8616256,124.5440697,0,15,16,39,23,3228.10165,4196.532145,223.3019284,0.996567458,1.58974359,82.77183719,113.9721683,78.18702785,6,538.0169417,6.5,26,26,53,27,9239.014697,1847.802939,801.0724667,1.450399967,4.301886792,174.321032,393.0048992,161.9082815,64,65,139,74,15474.87388,339.6127635,1.150310722,3.784172662,111.3300279,244.6738894,125.7842035,8
150318a,280,0.98,10.87,0.87,13.5,0.42,10.71,9,9,19,10,1736.18699,1510.482681,480.5711445,0.863370773,3.263157895,91.37826262,275.3326473,194.0850186,1,28,29,65,36,6057.862644,5936.705391,324.2725521,1.089562218,2.523076923,93.19788682,130.6370616,89.77465625,5,1211.572529,13,44,46,95,49,19289.18475,8101.457595,1084.239584,1.636705707,5.778947368,203.04405,623.5286406,214.0475737,81,84,179,95,27083.23438,455.1676413,1.361643582,4.329608939,151.3029854,407.5863137,166.8016062,7
150423a1,140,1.3,15.5,1.3,17.25,0.3,15,30,31,64,33,4673.773694,6075.905802,710.9559991,1.289316491,4.265625,73.02771396,182.7507417,114.1358202,1,28,31,68,37,3799.199343,4938.959146,341.1431024,1.108051495,3.602941176,55.87057858,117.9908729,80.7340233,3,1266.399781,22.66666667,22,22,45,23,7332.307603,2199.692281,737.3570909,1.416090892,5.911111111,162.9401689,400.2970939,136.9965129,80,84,177,93,15805.28064,494.3484794,1.260736703,4.429378531,89.29537085,213.1796387,107.115532,5
150423a2,300,0.95,12.625,0.91,13.05,0.27,10.3,11,11,23,12,1958.227811,1781.987308,440.0511736,0.986312107,3.826086957,85.1403396,231.7276323,179.8586317,1,33,33,73,40,5104.524098,4849.297893,255.6120589,0.855147221,2.219178082,69.92498764,128.4599161,91.21818732,7,729.2177282,10.42857143,29,29,59,30,8410.973558,2270.962861,835.2251154,1.252031835,4.644067797,142.5588739,445.470242,181.2765048,73,73,155,82,15473.72547,340.5067446,1.032578284,3.380645161,99.83048688,264.4519593,138.6515483,9
150423b,176,1.4,7.75,1.5,9,0.325,13.25,25,26,54,28,3533.14548,5299.71822,539.4095867,1.048998297,4.425925926,65.42861999,174.2438355,115.8947539,1,23,23,52,29,3574.71238,5004.597332,237.8481509,0.952574814,2,68.74446884,110.4966391,76.24083313,6,595.7853966,8.666666667,29,29,59,30,9012.005858,2928.901904,819.5050133,1.437878237,4.440677966,152.745862,397.7099,170.2363605,77,78,165,87,16119.86372,348.2504382,1.166657754,3.666666667,97.69614374,234.0598573,122.8290018,8
150424a,128,1.315,4.9,1.1,11.355,0.31,11.915,22,22,45,23,2678.982075,2946.880283,437.4799384,1.001805238,7.288888889,59.53293501,164.8896688,108.6759632,0,30,30,67,37,4713.387373,6198.104395,223.8547491,0.922117159,2.47761194,70.34906528,149.9898246,103.8501202,7,673.3410534,9.571428571,32,32,65,33,13080.3165,4054.898115,1020.065764,1.409878559,4.615384615,201.2356385,505.0705244,174.0627543,84,84,177,93,20472.68595,336.0587718,1.128801713,4.485875706,115.6648924,284.1747877,130.8613301,9
150428b1,164,1.05,11.925,1.1,13.65,0.36,12.895,26,27,56,29,4428.0283,4870.83113,611.9996124,0.89934519,4.839285714,79.07193393,198.0418812,132.1029424,1,28,28,62,34,4017.630778,4218.512317,231.543463,0.944254795,2.193548387,64.80049642,105.1140168,74.10000759,6,669.6051297,10.33333333,22,22,45,23,6740.048947,2426.417621,818.3027156,1.368442668,4.177777778,149.7788655,454.6748747,184.1817412,76,77,163,86,15185.70803,352.2443511,1.051682209,3.650306748,93.16385292,233.5446856,124.4180589,8
150428b2,96,1.16,8.36,1.19,11.995,0.31,16.525,17,17,35,18,2121.670722,2524.788159,481.85251,0.960602133,4.514285714,60.61916349,191.1476244,135.1135103,0,33,33,72,39,4188.40274,4858.547178,250.7360824,0.950362653,2.444444444,58.17226028,122.9344182,88.43785039,6,698.0671234,12,46,46,93,47,16568.00455,5136.081411,944.5312784,1.303147518,5.849462366,178.1505866,441.8365164,149.1925096,96,96,200,104,22878.07801,366.3500353,1.121218642,4.39,114.3903901,283.161205,124.8570074,8
150527a,249,0.9,9.815,0.92,16.45,0.3,6.35,14,14,29,15,2464.751456,2267.57134,568.4936604,0.816586344,4.137931034,84.99142953,219.2456971,175.3376777,1,29,29,65,36,5340.06885,4806.061965,288.8554478,1.178753285,2.153846154,82.15490539,108.3179799,76.76291982,7,762.8669786,9.285714286,54,55,112,57,21422.75623,6426.826869,1171.780185,1.614267109,7.026785714,191.2746092,547.5743783,196.0537051,97,98,206,108,29227.57653,418.0291089,1.368932763,5.082524272,141.8814395,362.7530305,155.4970748,9
