neuron_name,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean
150423a2,11,11,23,12,1958.227811,440.0511736,0.986312107,3.826086957,85.1403396,231.7276323,179.8586317,33,33,73,40,5104.524098,255.6120589,0.855147221,2.219178082,69.92498764,128.4599161,91.21818732,7,729.2177282,10.42857143,29,29,59,30,8410.973558,835.2251154,1.252031835,4.644067797,142.5588739,445.470242,181.2765048
150423b,25,26,54,28,3533.14548,539.4095867,1.048998297,4.425925926,65.42861999,174.2438355,115.8947539,23,23,52,29,3574.71238,237.8481509,0.952574814,2,68.74446884,110.4966391,76.24083313,6,595.7853966,8.666666667,29,29,59,30,9012.005858,819.5050133,1.437878237,4.440677966,152.745862,397.7099,170.2363605
150424a,22,22,45,23,2678.982075,437.4799384,1.001805238,7.288888889,59.53293501,164.8896688,108.6759632,30,30,67,37,4713.387373,223.8547491,0.922117159,2.47761194,70.34906528,149.9898246,103.8501202,7,673.3410534,9.571428571,32,32,65,33,13080.3165,1020.065764,1.409878559,4.615384615,201.2356385,505.0705244,174.0627543
150428b1,26,27,56,29,4428.0283,611.9996124,0.89934519,4.839285714,79.07193393,198.0418812,132.1029424,28,28,62,34,4017.630778,231.543463,0.944254795,2.193548387,64.80049642,105.1140168,74.10000759,6,669.6051297,10.33333333,22,22,45,23,6740.048947,818.3027156,1.368442668,4.177777778,149.7788655,454.6748747,184.1817412
150428b2,17,17,35,18,2121.670722,481.85251,0.960602133,4.514285714,60.61916349,191.1476244,135.1135103,33,33,72,39,4188.40274,250.7360824,0.950362653,2.444444444,58.17226028,122.9344182,88.43785039,6,698.0671234,12,46,46,93,47,16568.00455,944.5312784,1.303147518,5.849462366,178.1505866,441.8365164,149.1925096
150527a,14,14,29,15,2464.751456,568.4936604,0.816586344,4.137931034,84.99142953,219.2456971,175.3376777,29,29,65,36,5340.06885,288.8554478,1.178753285,2.153846154,82.15490539,108.3179799,76.76291982,7,762.8669786,9.285714286,54,55,112,57,21422.75623,1171.780185,1.614267109,7.026785714,191.2746092,547.5743783,196.0537051
150528a,42,42,86,44,6269.017958,509.1120074,0.978296076,4.604651163,72.89555765,224.4565471,159.650606,52,52,112,60,8573.897039,262.1979622,0.903616689,2.821428571,76.55265214,116.6993052,79.25795065,8,1071.73713,14,35,35,72,37,10238.82952,735.2663834,1.335309104,4.555555556,142.2059655,343.8003357,131.8808885
150601a,25,25,52,27,3539.672228,390.7887677,1.033456869,4.269230769,68.07061977,153.6385601,110.0962397,17,17,41,24,3138.7608,196.0607252,1.007281187,1.707317073,76.55514148,130.3264598,93.26479123,7,448.3944001,5.857142857,27,29,61,32,13080.74363,809.9042191,1.381138346,5.885245902,214.4384202,453.5178179,174.0003059
150601b,28,29,60,31,3535.361792,625.8168163,0.981014794,6.1,58.92269653,226.3391631,151.886231,26,26,57,31,4089.658483,271.8304471,0.819324752,2.561403509,71.74839444,110.2129041,76.65915752,5,817.9316966,11.4,32,32,65,33,12068.9721,822.2868288,1.243122002,5.046153846,185.6764938,440.3070253,152.2655849
150610b1,19,19,39,20,2823.36826,609.0956146,1.052859973,5.179487179,72.39405794,231.8176034,159.0650154,19,20,50,30,3361.17322,173.9183184,1.112119058,1.66,67.22346441,113.2394733,80.61303679,9,373.4636911,5.555555556,45,45,91,46,15567.43332,1115.821666,1.417061493,5.538461538,171.0706959,438.8180995,173.2948938
