,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
10,140.0,,15.0,,15.0,0.25,18.25,29.0,29.0,59.0,30.0,3038.540111,554.2768242999999,1.0431545709999999,6.372881356000001,,193.668395,127.92623400000001,0.0,29.0,29.0,63.0,34.0,3676.6845590000003,236.85581009999999,0.952963844,2.285714286,58.36007236,98.88229343,69.78528262,5.0,735.3369117999999,12.6,22.0,22.0,45,23,7014.1941400000005,882.7820759,1.47401777,4.177777778,155.8709809,307.95360560000006,145.34394269999999,80.0,80.0,167.0,87.0,13729.41881,374.47685010000004,1.128947812,4.239520958,82.21208868,188.70617990000002,110.6862158,7.0
11,168.0,1.3,6.5,1.05,10.36535304,0.2,21.625,23.0,23.0,47.0,24.0,3007.757532,570.0133337999999,0.911346749,5.021276596,63.99484111,185.8616256,124.5440697,0.0,15.0,16.0,39.0,23.0,3228.10165,223.3019284,0.996567458,1.58974359,82.77183719,113.97216829999999,78.18702785,6.0,538.0169417000001,6.5,26.0,26.0,53,27,9239.014697,801.0724667000001,1.4503999669999998,4.3018867919999995,174.321032,393.0048992,161.9082815,64.0,65.0,139.0,74.0,15474.873880000001,339.61276349999997,1.150310722,3.784172662,111.3300279,244.67388939999998,125.78420349999999,8.0
12,280.0,0.98,10.87,0.87,13.5,,10.71,,,,,1736.18699,480.5711445,0.863370773,3.263157895,91.37826262,,,1.0,28.0,29.0,65.0,36.0,6057.862644,324.27255210000004,1.089562218,2.523076923,,130.63706159999998,89.77465625,5.0,1211.5725289999998,13.0,44.0,46.0,95,49,19289.18475,1084.239584,1.636705707,5.778947368,203.04405,,214.0475737,81.0,84.0,179.0,95.0,27083.23438,455.16764129999996,,4.329608939,,,166.80160619999998,7.0
13,140.0,1.3,,1.3,17.25,0.3,15.0,30.0,31.0,64.0,33.0,4673.7736939999995,710.9559991,,4.265625,73.02771396,182.7507417,114.13582020000001,1.0,28.0,31.0,68.0,37.0,3799.1993429999998,341.1431024,1.108051495,,55.87057858,117.9908729,80.7340233,,1266.399781,,22.0,22.0,45,23,7332.307603,737.3570909,1.416090892,5.911111111,162.9401689,400.2970939,136.9965129,80.0,84.0,177.0,93.0,15805.28064,494.3484794,1.260736703,4.429378531,89.29537085,213.1796387,107.115532,
14,,0.95,12.625,0.91,13.05,0.27,10.3,11.0,11.0,23.0,12.0,1958.227811,440.0511736,0.986312107,3.826086957,85.14033959999999,231.72763230000004,179.8586317,1.0,33.0,33.0,73.0,40.0,5104.524098,255.61205890000002,0.855147221,2.219178082,69.92498764,128.4599161,91.21818732,7.0,729.2177282,10.42857143,29.0,29.0,59,30,8410.973558,835.2251154,1.252031835,4.644067797,142.5588739,445.470242,181.27650480000003,73.0,73.0,155.0,82.0,15473.72547,340.50674460000005,1.032578284,3.3806451610000003,99.83048688,264.45195930000006,138.6515483,9.0
15,176.0,1.4,7.75,1.5,9.0,0.325,13.25,25.0,26.0,54.0,28.0,3533.1454799999997,539.4095867000001,1.048998297,4.425925926000001,65.42861999,174.2438355,115.89475390000001,1.0,23.0,23.0,52.0,29.0,3574.7123799999995,237.8481509,0.9525748140000001,2.0,68.74446884,110.49663909999998,76.24083313,6.0,595.7853966,8.666666667000001,29.0,29.0,59,30,9012.005858,819.5050133,1.4378782369999998,4.440677966,152.74586200000002,397.7099,170.2363605,77.0,78.0,165.0,87.0,16119.86372,348.25043819999996,1.166657754,3.666666667,97.69614374,234.05985730000003,122.82900179999999,8.0
16,128.0,1.315,4.9,1.1,11.355,0.31,11.915,22.0,22.0,45.0,23.0,2678.982075,437.4799384,1.001805238,,59.53293501,164.8896688,108.6759632,0.0,30.0,30.0,67.0,37.0,4713.387373,223.8547491,0.922117159,2.47761194,70.34906528,,,7.0,673.3410534,9.571428571,32.0,32.0,65,33,13080.3165,1020.0657640000001,1.409878559,4.615384615,201.2356385,505.0705244,174.0627543,84.0,84.0,177.0,93.0,20472.68595,336.05877180000005,1.1288017129999999,4.485875706,115.66489240000001,284.17478769999997,130.8613301,9.0
17,164.0,1.05,11.925,1.1,13.65,0.36,12.895,26.0,27.0,56.0,29.0,4428.0283,611.9996123999999,0.89934519,4.839285714,79.07193393,198.0418812,132.10294240000002,1.0,28.0,28.0,62.0,34.0,4017.630778,231.543463,0.944254795,2.193548387,64.80049642,105.1140168,74.10000759,6.0,669.6051297,10.33333333,22.0,22.0,45,23,6740.048947,818.3027156,1.3684426680000001,4.177777778,149.7788655,454.6748747,184.18174119999998,76.0,77.0,163.0,86.0,15185.708030000002,352.2443511,1.051682209,3.650306748,93.16385292,233.5446856,124.41805890000002,8.0
18,96.0,1.16,8.36,1.19,11.995,0.31,16.525,17.0,17.0,35.0,18.0,2121.670722,481.85250999999994,0.960602133,4.514285714,60.61916349,191.14762439999998,135.1135103,0.0,33.0,33.0,72.0,39.0,4188.4027399999995,250.73608240000002,0.950362653,2.444444444,58.17226028,122.9344182,88.43785039,6.0,698.0671234,12.0,46.0,46.0,93,47,16568.00455,944.5312784,1.303147518,5.849462366,178.1505866,441.8365164,149.1925096,96.0,96.0,200.0,104.0,22878.07801,366.3500353,1.121218642,4.39,114.39039009999999,283.161205,124.8570074,8.0
19,249.0,0.9,9.815,0.92,16.45,0.3,6.35,14.0,14.0,29.0,15.0,2464.751456,568.4936604,0.8165863440000001,4.137931034,84.99142953,219.2456971,175.33767769999997,1.0,29.0,29.0,65.0,36.0,5340.06885,288.85544780000004,,2.153846154,82.15490539,108.31797990000001,76.76291982,7.0,762.8669786,9.285714286000001,54.0,55.0,112,57,21422.756230000003,1171.780185,1.614267109,7.026785714,191.2746092,547.5743783,196.0537051,97.0,98.0,206.0,108.0,29227.576530000002,418.0291089,,5.082524272,141.8814395,362.7530305,155.4970748,9.0
