neuron_name,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,ap_postsyn_num,bas_postsyn_num,presynaptic_num,sum_postsyn_num,Soma_depth,AD
141111a,1.29,13.51,0.93,25,,,4704.642329,6633.884501,nan,11338.52683,240,1
141113b,1.29,10.275,0.95,14.425,0.22,21.58,3811.638113,5872.179646,nan,9683.817759,168,1
150122a,1.06,10.075,1,13.2,0.37,9.415,3143.692647,4572.860795,nan,7716.553442,147,0
150422a,0.9,13.065,0.79,8.92,0.26,20.68896552,2964.042285,3882.557092,nan,6846.599376,232,1
150526a,,,0.91,22.81,0.27,9.76,2759.948546,0,nan,2759.948546,356,1
150529a,1.23,8.86,1.23,8.095,0.32,12.025,4444.227942,3379.160147,34.30897744,7823.388089,162,1
150721a,1.18,10.32,1.09,7.985,0.24,13.82,3263.995704,4887.878797,nan,8151.874502,162,1
