neuron_name,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,ap_postsyn_num,bas_postsyn_num,presynaptic_num,sum_postsyn_num,Soma_depth,AD,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean
141111a,1.29,13.51,0.93,25.0,,,4704.642329,6633.884501,,11338.526829999999,240,1,34,33,0.0,67,35,33,0.0,68,1,7,1.0,9,72,73,1.0,146,37,40,1.0,78,5058.75519169,5142.54612526,94.5910661942,10295.8923831,5058.75519169,734.649446465,94.5910661942,1143.98804257,72.0,10.4285714286,1.0,16.2222222222,591.745068316,209.63037097900002,91.80936523790001,238.99633671200002,1.0268790661700002,0.903350056474,,0.966036419603,5.833333333330001,2.46575342466,0.0,4.1095890411000005,70.2604887735,70.4458373323,94.5910661942,70.51981084350001,200.16590672799998,117.105633495,94.5910661942,157.912654765,140.77339369,80.3864785255,88.0112269701,110.218551404
141113b,1.29,10.275,0.95,14.425,0.22,21.58,3811.6381130000004,5872.1796460000005,,9683.817759,168,1,28,32,,60,28,32,,60,1,6,,7,57,70,,127,29,38,,67,4012.25064505,4552.07724454,,8564.32788959,4012.25064505,758.6795407569999,,1223.4754128,57.0,11.666666666700001,,18.1428571429,652.992925125,240.22223755099998,,299.18947863299996,0.996116446168,0.931673120192,,0.961746672314,5.3684210526300005,2.4285714285699997,,3.74803149606,70.3903621939,65.029674922,,67.43565267390001,188.13943197900002,107.164959778,,143.507833128,130.26476133,76.6729996983,,100.725995076
150122a,1.06,10.075,1.0,13.2,0.37,9.415,3143.692647,4572.8607950000005,,7716.553442,147,0,25,26,,51,25,28,,53,1,4,,5,51,62,,113,26,34,,60,3143.69264745,4314.01961821,,7457.71226566,3143.69264745,1078.50490455,,1491.54245313,51.0,15.5,,22.6,521.081634476,276.934596376,,325.764003996,1.05510926867,0.9139215224989999,,0.9831312019930001,5.8431372549,2.40322580645,,3.95575221239,61.641032303,69.580961584,,65.9974536784,188.986091555,104.306970959,,142.524981139,130.376211122,72.0440002953,,98.37092730559999
150422a,0.9,13.065,0.79,8.92,0.26,20.68896552,2964.042285,3882.557092,,6846.599376,232,1,24,29,,53,25,29,,54,1,6,,7,52,64,,116,27,35,,62,3751.95225907,4313.95232386,,8065.90458293,3751.95225907,718.9920539760001,,1152.27208328,52.0,10.6666666667,,16.571428571400002,566.936897078,248.153202139,,293.693729987,0.973126285048,0.864197070927,,0.91352350751,4.55769230769,2.1875,,3.25,72.15292805909999,67.4055050603,,69.5336601977,237.305399595,112.921444887,,168.679769411,152.965090311,81.1328931474,,113.333533255
150526a,,,0.91,22.81,0.27,9.76,2759.948546,0.0,,2759.948546,356,1,17,23,,40,17,24,,41,1,6,,7,35,55,,90,18,31,,49,3032.91048991,4070.7376478,,7103.64813772,3032.91048991,678.456274634,,1014.80687682,35.0,9.166666666669999,,12.857142857100001,711.969869471,225.700264662,,295.167351063,1.16303418985,1.00957512317,,1.07479522651,6.11428571429,2.01818181818,,3.61111111111,86.65458542610001,74.0134117783,,78.9294237524,286.579723909,103.138892397,,174.47699354,207.79832748200002,65.684892621,,120.9512284
150529a,1.23,8.86,1.23,8.095,0.32,12.025,4444.227942,3379.160147,34.30897744,7823.388089,162,1,24,17,0.0,41,24,18,0.0,42,1,4,1.0,6,49,41,1.0,91,25,23,1.0,49,3613.1934486999994,2747.28467171,107.21555447200001,6467.69367488,3613.1934486999994,686.8211679259999,107.21555447200001,1077.94894581,49.0,10.25,1.0,15.166666666700001,622.024616927,256.204741549,94.27841738020001,295.460757145,1.13495298911,0.923870459919,,1.04743096481,5.63265306122,2.09756097561,0.0,3.9780219780199997,73.7386418103,67.0069432123,107.21555447200001,71.0735568668,211.89242821599998,104.65968497600001,107.21555447200001,162.428479353,143.511810476,73.5218965573,89.245215975,111.38155701299999
150721a,1.18,10.32,1.09,7.985,0.24,13.82,3263.995704,4887.878797,,8151.874502,162,1,24,29,,53,24,29,,53,1,6,,7,49,64,,113,25,35,,60,2994.49147194,4142.2701669,,7136.76163884,2994.49147194,690.3783611489999,,1019.53737698,49.0,10.6666666667,,16.1428571429,437.85302983599996,223.019546306,,253.710043953,1.0029320317700001,0.914742730978,,0.954677508696,5.10204081633,2.40625,,3.5752212389399998,61.112070856,64.72297135779999,,63.1571826446,185.712921219,107.639326376,,141.494248033,122.92978416700001,74.9958120229,,95.7813397666
