number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
34,33,0,67,35,33,0,68,1,7,1,9,72,73,1,146,37,40,1,78,5058.75519169,5142.54612526,94.5910661942,10295.8923831,5058.75519169,734.649446465,94.5910661942,1143.98804257,72.0,10.4285714286,1.0,16.2222222222,591.745068316,209.630370979,91.8093652379,238.996336712,1.02687906617,0.903350056474,nan,0.966036419603,5.83333333333,2.46575342466,0.0,4.1095890411,70.2604887735,70.4458373323,94.5910661942,70.5198108435,200.165906728,117.105633495,94.5910661942,157.912654765,140.77339369,80.3864785255,88.0112269701,110.218551404,141111a
28,32,nan,60,28,32,nan,60,1,6,nan,7,57,70,nan,127,29,38,nan,67,4012.25064505,4552.07724454,nan,8564.32788959,4012.25064505,758.679540757,nan,1223.4754128,57.0,11.6666666667,nan,18.1428571429,652.992925125,240.222237551,nan,299.189478633,0.996116446168,0.931673120192,nan,0.961746672314,5.36842105263,2.42857142857,nan,3.74803149606,70.3903621939,65.029674922,nan,67.4356526739,188.139431979,107.164959778,nan,143.507833128,130.26476133,76.6729996983,nan,100.725995076,141113b
25,26,nan,51,25,28,nan,53,1,4,nan,5,51,62,nan,113,26,34,nan,60,3143.69264745,4314.01961821,nan,7457.71226566,3143.69264745,1078.50490455,nan,1491.54245313,51.0,15.5,nan,22.6,521.081634476,276.934596376,nan,325.764003996,1.05510926867,0.913921522499,nan,0.983131201993,5.8431372549,2.40322580645,nan,3.95575221239,61.641032303,69.580961584,nan,65.9974536784,188.986091555,104.306970959,nan,142.524981139,130.376211122,72.0440002953,nan,98.3709273056,150122a
24,29,nan,53,25,29,nan,54,1,6,nan,7,52,64,nan,116,27,35,nan,62,3751.95225907,4313.95232386,nan,8065.90458293,3751.95225907,718.992053976,nan,1152.27208328,52.0,10.6666666667,nan,16.5714285714,566.936897078,248.153202139,nan,293.693729987,0.973126285048,0.864197070927,nan,0.91352350751,4.55769230769,2.1875,nan,3.25,72.1529280591,67.4055050603,nan,69.5336601977,237.305399595,112.921444887,nan,168.679769411,152.965090311,81.1328931474,nan,113.333533255,150422a
17,23,nan,40,17,24,nan,41,1,6,nan,7,35,55,nan,90,18,31,nan,49,3032.91048991,4070.7376478,nan,7103.64813772,3032.91048991,678.456274634,nan,1014.80687682,35.0,9.16666666667,nan,12.8571428571,711.969869471,225.700264662,nan,295.167351063,1.16303418985,1.00957512317,nan,1.07479522651,6.11428571429,2.01818181818,nan,3.61111111111,86.6545854261,74.0134117783,nan,78.9294237524,286.579723909,103.138892397,nan,174.47699354,207.798327482,65.684892621,nan,120.9512284,150526a
24,17,0,41,24,18,0,42,1,4,1,6,49,41,1,91,25,23,1,49,3613.1934487,2747.28467171,107.215554472,6467.69367488,3613.1934487,686.821167926,107.215554472,1077.94894581,49.0,10.25,1.0,15.1666666667,622.024616927,256.204741549,94.2784173802,295.460757145,1.13495298911,0.923870459919,nan,1.04743096481,5.63265306122,2.09756097561,0.0,3.97802197802,73.7386418103,67.0069432123,107.215554472,71.0735568668,211.892428216,104.659684976,107.215554472,162.428479353,143.511810476,73.5218965573,89.245215975,111.381557013,150529a
24,29,nan,53,24,29,nan,53,1,6,nan,7,49,64,nan,113,25,35,nan,60,2994.49147194,4142.2701669,nan,7136.76163884,2994.49147194,690.378361149,nan,1019.53737698,49.0,10.6666666667,nan,16.1428571429,437.853029836,223.019546306,nan,253.710043953,1.00293203177,0.914742730978,nan,0.954677508696,5.10204081633,2.40625,nan,3.57522123894,61.112070856,64.7229713578,nan,63.1571826446,185.712921219,107.639326376,nan,141.494248033,122.929784167,74.9958120229,nan,95.7813397666,150721a
