number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
10,26,16,52,10,26,17,53,1,4,1,6,21,56,36,113,11,30,19,60,2341.46904252,4012.17663698,8694.60612023,15048.2517997,2341.46904252,1003.04415925,8694.60612023,2508.04196662,21.0,14.0,36.0,18.8333333333,489.599692361,329.971512911,1179.55886862,498.174102104,1.06938079699,0.963330291225,1.08696476607,1.02176599613,4.28571428571,2.42857142857,3.94444444444,3.25663716814,111.498525834,71.6460113747,241.516836673,133.170369909,257.160598594,105.764210669,503.214031772,260.521004528,180.117999999,70.0664858923,217.349805208,137.440656615,140611bA
27,13,37,77,28,13,37,78,1,3,1,5,58,29,75,162,30,16,38,84,3962.01747185,1826.47522934,10564.4451914,16352.9378926,3962.01747185,608.825076448,10564.4451914,3270.58757852,58.0,9.66666666667,75.0,32.4,510.808655358,227.335033541,1099.75027478,458.512806151,1.12388620224,0.955034436753,1.47568469318,1.26442478942,4.91379310345,2.0,4.61333333333,4.25308641975,68.3106460664,62.9819044601,140.859269218,100.944061065,201.048630824,105.113076257,413.151982539,282.070978331,135.806775081,72.3910271905,148.834743485,130.486040152,140611bB
30,26,25,81,30,26,25,81,1,5,1,7,61,57,51,169,31,31,26,88,4165.79802788,3813.26129908,7461.71698939,15440.7763164,4165.79802788,762.652259816,7461.71698939,2205.82518805,61.0,11.4,51.0,24.1428571429,618.065164197,243.295864654,877.401411603,387.420842724,1.07276620559,0.903992929164,1.41078982852,1.12292034616,5.24590163934,2.35087719298,4.43137254902,4.02366863905,68.2917709488,66.8993210365,146.308176263,91.3655403334,173.733805762,117.294183664,434.149521612,233.284948062,112.082592803,81.3207391959,174.978269629,120.687645244,140909a1
26,33,50,109,26,35,50,111,1,6,1,8,53,78,101,232,27,43,51,121,3939.89335753,5143.80625915,14877.47439,23961.1740067,3939.89335753,857.301043192,14877.47439,2995.14675084,53.0,13.0,101.0,29.0,547.245346129,267.024652854,1007.69682978,394.636261629,1.11585506593,0.896879884837,1.34607163407,1.15516375796,5.05660377358,2.55128205128,5.68316831683,4.48706896552,74.3376105194,65.9462340917,147.301726634,103.280922443,200.394608802,100.505523344,437.450102426,270.012092381,141.350228747,73.6127547192,163.527148597,128.231030172,141118a
24,25,53,102,24,25,55,104,1,6,1,8,49,56,114,219,25,31,59,115,3728.95134288,4391.83905305,18176.088057,26296.8784529,3728.95134288,731.973175509,18176.088057,3287.10980662,49.0,9.33333333333,114.0,27.375,554.175483419,278.76873662,1157.95087474,423.092347236,0.793941217952,1.01913539766,1.47761964678,1.20438054364,5.26530612245,2.21428571429,6.13157894737,4.93607305936,76.1010478138,78.4256973759,159.439368921,120.077070561,242.830581206,118.387773076,394.050546068,289.726831155,189.603421944,86.9007117493,184.482437446,160.675823754,141118c
27,15,17,59,27,16,17,60,1,6,1,8,55,39,35,129,28,23,18,69,4131.453848,3055.24345987,4946.09091406,12132.7882219,4131.453848,509.207243312,4946.09091406,1516.59852774,55.0,6.5,35.0,16.125,567.81372754,222.94368089,652.05380333,319.691202026,1.05176137981,0.92469637472,1.3814927882,1.11446407246,6.03636363636,1.61538461538,4.62857142857,4.31782945736,75.1173426908,78.3395758942,141.316883259,94.0526218754,188.418455403,103.596389166,338.563696661,203.511655874,123.583030345,73.6361348856,140.913530051,113.1848797,150119a
26,26,5,57,26,26,5,57,1,6,1,8,53,58,11,122,27,32,6,65,3870.25874772,3405.02742117,716.432213368,7991.71838226,3870.25874772,567.504570196,716.432213368,998.964797783,53.0,9.66666666667,11.0,15.25,668.708543134,180.016217753,293.665213435,255.310416198,1.0368518185,0.919494491124,1.95567982483,1.06391935394,5.24528301887,2.20689655172,2.0,3.50819672131,73.023749957,58.7073693306,65.1302012153,65.5058883792,224.858342733,97.380558194,211.320520667,163.033526782,146.196680116,67.8469928818,99.6379853712,104.750553052,150422b
