number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
nan,17,100,117,nan,17,101,118,nan,2,1,3,nan,36,204,240,nan,19,103,122,nan,1743.36234982,6967.90356939,8711.2659192,nan,871.681174908,6967.90356939,2903.7553064,nan,18.0,204.0,80.0,nan,228.09981857,403.306758978,286.502132039,nan,1.06355131,1.50916214215,1.4444152691,nan,3.11111111111,7.72549019608,7.03333333333,nan,48.4267319394,34.156390046,36.29694133,nan,99.2304781358,228.703630305,209.28265748,nan,63.7074632076,100.001634803,94.5575090639,141118aIn
nan,20,nan,20,nan,20,nan,20,nan,5,nan,5,nan,45,nan,45,nan,25,nan,25,nan,5333.07562503,nan,5333.07562503,nan,1066.61512501,nan,1066.61512501,nan,9.0,nan,9.0,nan,339.578065935,nan,339.578065935,nan,1.25327471723,nan,1.25327471723,nan,2.04444444444,nan,2.04444444444,nan,118.512791667,nan,118.512791667,nan,189.241052291,nan,189.241052291,nan,110.035781602,nan,110.035781602,150120aIn
8,8,nan,16,8,8,nan,16,1,4,nan,5,17,20,nan,37,9,12,nan,21,1740.664025,2054.4263951,nan,3795.0904201,1740.664025,513.606598775,nan,759.01808402,17.0,5.0,nan,7.4,562.582550954,163.188266061,nan,243.06712304,0.990557007062,0.936529756197,nan,0.963543381629,3.05882352941,1.5,nan,2.21621621622,102.39200147,102.721319755,nan,102.570011354,298.740703538,131.794797992,nan,208.499673513,227.064703278,57.7242855487,nan,135.529342343,150421bLL5
8,7,nan,15,8,7,nan,15,1,5,nan,6,17,19,nan,36,9,12,nan,21,1572.77148986,1748.81352634,nan,3321.5850162,1572.77148986,349.762705269,nan,553.5975027,17.0,3.8,nan,6.0,632.430629749,127.556708245,nan,211.748043236,1.04673023881,1.02753996885,nan,1.0377747795,3.29411764706,1.15789473684,nan,2.16666666667,92.5159699916,92.0428171759,nan,92.26625045,342.491394351,112.96565041,nan,221.352807271,293.128129899,51.2453804604,nan,165.467789918,150421bUL5
11,16,nan,27,11,16,nan,27,1,2,nan,3,23,34,nan,57,12,18,nan,30,1963.08830591,2570.98633657,nan,4534.07464248,1963.08830591,1285.49316828,nan,1511.35821416,23.0,17.0,nan,19.0,342.310431332,333.544645155,nan,336.466573881,1.01884767792,1.02315506298,nan,1.0214002024,3.04347826087,2.76470588235,nan,2.87719298246,85.3516654744,75.6172451932,nan,79.5451691663,170.010815886,124.648338255,nan,142.952495895,116.152738458,81.3030670642,nan,95.3652151703,150511aL5
nan,27,411,438,nan,27,418,445,nan,5,1,6,nan,59,844,903,nan,32,426,458,nan,5165.62052187,34920.7613327,40086.3818546,nan,1033.12410437,34920.7613327,6681.06364244,nan,11.8,844.0,150.5,nan,295.081645426,816.964034154,382.062043547,nan,0.757702421708,1.06195865514,1.0432031339,nan,2.57627118644,9.61018957346,9.15060908084,nan,87.5528902013,41.3753096359,44.3924494514,nan,170.466162668,231.390609239,227.409942188,nan,120.118640631,125.172248157,124.842056746,150603aL4St
nan,11,103,114,nan,11,103,114,nan,4,1,5,nan,26,207,233,nan,15,104,119,nan,1901.15157652,9146.27202301,11047.4235995,nan,475.28789413,9146.27202301,2209.48471991,nan,6.5,207.0,46.6,nan,192.165818549,566.572245028,267.047103845,nan,1.26921669672,1.45480032377,1.43689313168,nan,1.76923076923,7.86473429952,7.18454935622,nan,73.1212144816,44.184889,47.4138351911,nan,108.605581799,339.628458689,313.849081868,nan,69.5368851675,86.7969583828,84.8709416291,150703cIn
