neuron_name,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,ap_postsyn_num,bas_postsyn_num,presynaptic_num,sum_postsyn_num,Soma_depth,AD
140625a,1.33,10.695,1.56,13.575,,,7286.643997,9419.398877,nan,16706.04287,204,1
150331a,1.3,6.14,0.84,10.91,,,2327.272206,4059.271034,nan,6386.54324,141,1
150421a,1.08,7.995,1.36,16.51,,,5156.136251,3791.558363,nan,8947.694614,304,1
